group,name,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration,abs_number
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,8,0.359889299,1.309189741,-2.433307117,3.033345529,5.874607137,38.7857423,-108.5590765,114.1430111,85.27882421,55.90144765,12.43437619,250.3198839,0.010451045,0.075438596,19
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,9,-0.407059615,1.661439565,-3.134285276,3.124946249,-0.041592938,5.908234789,-187.8327949,187.9222672,22.83412402,18.01378161,0.468853398,154.2179559,0.01430143,2.612820513,26
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,10,0.783426138,1.164939515,-2.47698011,2.62056006,-1.445505157,7.719353515,-89.48300757,5.09659938,81.23065777,46.90863978,7.224760982,269.814525,0.01320132,0.236111111,24
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,11,-1.025143613,1.579715562,-3.100051055,3.140657235,-0.321224576,8.95240314,-187.5026331,2.502370147,67.04896929,52.86840421,0.752787234,246.183893,0.01320132,1.226388889,24
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,12,0.181178159,0.880877455,-1.525139195,1.597511699,-0.3812425,1.058276718,-2.68332181,1.645125669,52.12032415,28.28943986,16.059956,110.5403103,0.003850385,0.076190476,7
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,13,0.507814549,1.562710252,-3.133711386,3.102541655,0.045307862,13.70933572,-187.5218895,187.0112014,78.86256022,58.70297238,1.533922061,296.906674,0.0110011,0.628333333,20
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,14,0.179161807,0.77934142,-3.102631345,3.124092146,0.302747551,6.180305751,-4.134561981,184.8056041,86.24059139,53.27921096,1.557039279,232.2829774,0.02090209,0.809649123,38
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,15,0.704754776,1.727569377,-3.135665336,3.132741147,-0.365261237,12.9587797,-188.0062256,5.617244078,61.94262767,43.68272455,1.631885953,207.3577733,0.00770077,1.011904762,14
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,16,-1.311937602,1.218016523,-3.093530978,3.13346452,-0.416250649,9.478900958,-187.9161473,2.680468577,77.83647421,48.82534952,0.495694971,205.3195474,0.00550055,1.323333333,10
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,17,-1.458160847,0.588193367,-3.003896038,-0.513521967,0.292212277,1.380325454,-2.995881421,3.228649217,44.74422065,29.34596673,0.800997046,192.0976414,0.007150715,0.856410256,13
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,18,1.81252248,1.522043185,-2.1962862,2.992598462,0.026273438,0.294151785,-0.997409701,0.409351912,22.36078953,13.86537984,1.884964742,72.42991739,0.00330033,0.622222222,6
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,19,1.656800781,1.300120771,0.280532266,2.837632333,-6.742773188,6.771010958,-19.6073198,-0.558425344,57.01033787,37.51976973,20.53479196,132.3567674,0.000550055,0.3,1
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,20,0.129057086,0.257614672,-0.785178499,0.751714104,-0.21113343,0.987984694,-5.009715008,2.191639214,100.4662868,56.00250308,3.153261985,274.0134656,0.006050605,0.903030303,11
Control_12-14,2022-09-02_11-26-31_mito_park_12-14_weeks_1039_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,21,-0.658905286,2.553062698,-3.139971608,3.139795451,0.556187081,26.67975048,-188.2324307,188.0888126,92.20446167,47.71101455,1.313879615,208.1949538,0.00440044,1.65,8
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,0,0.14422781,1.605494134,-3.140813648,3.140460785,0.065104651,7.557275083,-188.1333053,188.255458,37.85660021,37.32781637,0.254887484,275.0097486,0.258302583,0.63170068,490
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,1,0.305609797,1.696217491,-3.140785524,3.140487283,0.012778673,13.00293869,-187.844442,188.0176643,54.94537838,41.81530925,0.290797787,238.1903971,0.165524512,0.483121019,314
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,2,0.101104781,1.785915961,-3.141537029,3.139487154,-0.581779735,20.19619645,-188.2898457,6.97849254,58.42084835,41.51138065,1.195151712,256.8328067,0.152345809,0.453287197,289
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,3,0.501377461,1.462589619,-3.139229366,3.141578358,0.056597095,10.66602499,-188.4017,188.1762124,40.5212944,31.46861479,0.314378192,245.9759514,0.118081181,0.622767857,224
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,4,0.72875018,1.973580576,-3.1236261,3.129723408,-0.904654308,16.8152028,-185.6586787,175.5841182,25.63643687,16.85954589,1.165528334,121.9062996,0.037427517,0.287793427,71
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,5,0.316937932,1.848049832,-3.138981475,3.139860042,0.233376067,11.24974537,-187.6117678,187.9789228,84.20023214,54.1386536,0.553843661,334.3731802,0.060622035,0.805217391,115
